,dataset,network,relaxation,time_mean,time_std,expl_size_mean,expl_size_std,fidelity
0,mnsit,Net_2x16_hidden,0,15.122725573983043,3.68144731323522,615.2,43.35135522679769,0.75
1,mnsit,Net_2x16_hidden,2,11.145018108985386,1.9023714979637305,635.22,61.80640419891777,0.75
2,mnsit,Net_2x16_hidden,4,11.389493086989969,2.5282533939757963,624.57,115.1078846126537,0.62
3,mnsit,Net_2x16_hidden,8,10.705990784987808,2.96951245824293,650.98,119.2511618392039,0.75
4,mnsit,Net_2x32_hidden,0,54.71776676399168,124.49378420140782,544.25,52.95684563868962,0.55
5,mnsit,Net_2x32_hidden,2,29.44243376196828,21.092357554306933,574.82,76.81398049834418,0.6
6,mnsit,Net_2x32_hidden,4,24.803316015992312,16.121842848985484,577.36,103.60333199275011,0.56
7,mnsit,Net_2x32_hidden,8,21.935577418021857,8.71118474573705,600.42,113.42011990824204,0.68
8,mnsit,Net_3x16_hidden,0,17.54293376199901,3.792163178985086,569.93,42.900175990315,0.37
9,mnsit,Net_3x16_hidden,2,14.775990513977597,5.252318989158373,623.82,80.22049364096435,0.55
10,mnsit,Net_3x16_hidden,4,17.237960033994167,6.698166141353932,572.53,136.51479443635404,0.51
11,mnsit,Net_3x16_hidden,8,12.362457413026132,3.127783482664832,597.55,109.11932688575384,0.47
12,mnsit,Net_4x16_hidden,0,24.647901112018154,15.11019888473405,558.84,49.67045802083971,0.53
13,mnsit,Net_4x16_hidden,2,23.454765103999524,10.325384678720127,550.34,116.88389281676068,0.52
14,mnsit,Net_4x16_hidden,4,20.537157069984822,8.925611337024748,556.46,114.06431694443272,0.57
15,mnsit,Net_4x16_hidden,8,18.819423169014044,8.630587078107459,572.8,156.84125732727344,0.61
